"","delay","latency"
"968","500",502
"969","500",502
"970","500",502
"971","500",502
"972","500",502
"973","500",502
"974","500",502
"975","500",502
"976","500",502
"977","500",502
"978","500",502
"979","500",503
"980","500",502
"981","500",502
"982","500",502
"983","500",502
"984","500",502
"985","500",502
"986","500",502
"987","500",502
"988","500",502
"989","500",502
"990","500",502
"991","500",502
"992","500",502
"993","500",502
"994","500",503
"995","500",502
"996","500",502
"997","500",502
"998","500",503
"999","500",502
"1000","500",502
"1001","500",502
"1002","500",502
"1003","500",502
"1004","500",502
"1005","500",502
"1006","500",502
"1007","500",502
"1008","500",502
"1009","500",502
"1010","500",502
"1011","500",502
"1012","500",502
"1013","500",502
"1014","500",503
"1015","500",502
"1016","500",502
"1017","500",502
"1018","500",502
"1019","500",502
"1020","500",502
"1021","500",502
"1022","500",502
"1023","500",502
"1024","500",502
"1025","500",502
"1026","500",502
"1027","500",502
"1028","500",502
"1029","500",502
"1030","500",502
"1031","500",502
"1032","500",503
"1033","500",502
"1034","500",503
"1035","500",502
"1036","500",502
"1037","500",502
"1038","500",502
"1039","500",502
"1040","500",502
"1041","500",502
"1042","500",502
"1043","500",502
"1044","500",502
"1045","500",502
"1046","500",502
"1047","500",502
"1048","500",502
"1049","500",502
"1050","500",502
"1051","500",502
"1052","500",502
"1053","500",502
"1054","500",502
"1055","500",502
"1056","500",502
"1057","500",502
"1058","500",502
"1059","500",502
"1060","500",502
"1061","500",502
"1062","500",502
"1063","500",502
"1064","500",502
"1065","500",502
"1066","500",503
"1067","500",502
"1068","500",502
"1069","500",502
"1070","500",502
"1071","500",502
"1072","500",502
"1073","500",502
"1074","500",502
"1075","500",502
"1076","500",503
"1077","500",502
"1078","500",503
"1079","500",502
"1080","500",502
"1081","500",502
"1082","500",502
"1083","500",502
"1084","500",502
"1085","500",502
"1086","500",502
"1087","500",502
"1088","500",502
"1089","500",502
"1090","500",503
"1091","500",502
"1092","500",502
"1093","500",502
"1094","500",502
"1095","500",502
"1096","500",502
"1097","500",502
"1098","500",502
"1099","500",502
"1100","500",502
