Browser,"Browser Version","Short Browser Version",Engine,"Engine Version",OS,"OS Version",Measurement,delay,latencyatnecy
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",150
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",155
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",154
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",152
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",153
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",187
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",187
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",150
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",154
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",154
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",151
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",151
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",152
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",152
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",152
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",155
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",150
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",151
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",153
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",152
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",154
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",155
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",152
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",153
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",154
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",154
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",155
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","150",153
