"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","measurement","showlatency","hidellatency","delay","measuredto"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67680","108656","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68564","158832","150","153"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68584","108672","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67552","108776","110","110"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67676","158816","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67284","108928","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67412","108896","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67548","158960","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67412","108784","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67676","108648","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68712","158724","150","153"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67800","108520","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108776","110","111"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","158824","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67412","108912","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108896","110","110"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67680","158704","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67412","108904","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68568","108648","110","115"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68696","158728","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67668","108648","100","104"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67544","108776","110","110"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67556","158848","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","84440","92008","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","69588","108768","110","112"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","158848","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67544","108776","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68440","108776","110","112"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68564","158976","150","153"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67416","108904","100","103"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108640","110","114"
